signal_date,ticker,foreign_5d,inst_5d,score,contraction_ratio,entry_price,status,exit_price,exit_date,return_pct,hold_days
2026-02-05,000100,253791,-77489,70.3,0.635,108800.0,CLOSED,107200.0,2026-02-10,-1.47,5
2026-02-05,000680,185608,-2905,71.3,0.542,3545.0,CLOSED,3455.0,2026-02-10,-2.54,5
2026-02-05,000720,244741,12256,81.7,0.643,113000.0,CLOSED,114200.0,2026-02-10,1.06,5
2026-02-05,001060,108045,-66256,64.6,0.72,26700.0,CLOSED,32400.0,2026-02-10,21.35,5
2026-02-05,001520,110095,-59525,77.8,0.424,849.0,CLOSED,935.0,2026-02-10,10.13,5
2026-02-05,001620,129708,37043,75.6,0.478,591.0,CLOSED,572.0,2026-02-10,-3.21,5
2026-02-05,001680,69513,-15375,64.6,0.423,22350.0,CLOSED,22550.0,2026-02-10,0.89,5
2026-02-05,001780,251420,3653,73.9,0.462,2095.0,CLOSED,2230.0,2026-02-10,6.44,5
2026-02-05,002240,58373,-2068,63.0,0.459,22000.0,CLOSED,22850.0,2026-02-10,3.86,5
2026-02-05,002990,83380,-7043,67.2,0.695,4205.0,CLOSED,4480.0,2026-02-10,6.54,5
2026-02-05,003490,727382,-788411,87.3,0.689,23750.0,CLOSED,24150.0,2026-02-10,1.68,5
2026-02-05,004980,97126,-3545,62.4,0.646,9550.0,CLOSED,10270.0,2026-02-10,7.54,5
2026-02-05,005010,323789,-3177,75.0,0.267,4250.0,CLOSED,4230.0,2026-02-10,-0.47,5
2026-02-05,006360,336307,-189605,71.9,0.503,18900.0,CLOSED,20300.0,2026-02-10,7.41,5
2026-02-05,006740,54148,-46,64.2,0.704,825.0,CLOSED,808.0,2026-02-10,-2.06,5
2026-02-05,006910,455037,-193,67.8,0.506,8140.0,CLOSED,8260.0,2026-02-10,1.47,5
2026-02-05,007070,172751,33386,65.5,0.592,21150.0,CLOSED,20950.0,2026-02-10,-0.95,5
2026-02-05,008970,604758,-1380,65.5,0.504,1878.0,CLOSED,1786.0,2026-02-10,-4.9,5
2026-02-05,009410,262467,-153224,71.4,0.453,1712.0,CLOSED,1589.0,2026-02-06,-7.18,1
2026-02-05,009520,176415,324904,80.4,0.576,20600.0,CLOSED,18930.0,2026-02-06,-8.11,1
2026-02-05,009730,298013,1965,75.9,0.775,651.0,CLOSED,631.0,2026-02-10,-3.07,5
2026-02-05,009810,55357,-76,75.2,0.0,261.0,CLOSED,261.0,2026-02-10,0.0,5
2026-02-05,009900,82166,23682,72.8,0.742,9350.0,CLOSED,9240.0,2026-02-10,-1.18,5
2026-02-05,010620,189955,-112800,68.3,0.0,223000.0,CLOSED,223000.0,2026-02-10,0.0,5
2026-02-05,010950,119349,43597,80.4,0.721,99800.0,CLOSED,99300.0,2026-02-10,-0.5,5
2026-02-05,011170,184026,-146650,63.5,0.651,73700.0,CLOSED,74900.0,2026-02-10,1.63,5
2026-02-05,011690,78158,-8427,73.0,0.422,4205.0,CLOSED,6930.0,2026-02-10,64.8,5
2026-02-05,012340,52850,11610,66.9,0.75,470.0,CLOSED,472.0,2026-02-10,0.43,5
2026-02-05,012510,162647,-78108,63.6,0.495,92700.0,CLOSED,83600.0,2026-02-06,-9.82,1
2026-02-05,012690,72108,-320,75.0,0.628,2215.0,CLOSED,2205.0,2026-02-10,-0.45,5
2026-02-05,013520,146498,-1710,73.1,0.742,2435.0,CLOSED,2540.0,2026-02-10,4.31,5
2026-02-05,013570,134578,-490,68.7,0.4,5260.0,CLOSED,5260.0,2026-02-10,0.0,5
2026-02-05,015750,213908,97379,80.2,0.481,7660.0,CLOSED,7680.0,2026-02-10,0.26,5
2026-02-05,017000,55315,0,73.2,0.325,3105.0,CLOSED,3385.0,2026-02-10,9.02,5
